Time	C	R	Q	W	M1	M2	NetRevenue	Standard Deviation
Jan-96	1	74	57	37	1	5	-587463.0333	15207.84005
Feb-96	0	182	120	28	5	5	1597538.367	25628.12492
Mar-96	0	155	74	5	1	5	-224364.2667	23813.29448
Apr-96	1	176	149	42	2	2	-700976.9667	21584.93429
May-96	1	117	188	24	1	1	-891396.4667	24208.64863
Jun-96	0	26	107	38	4	2	1451902.667	21272.81658
Jul-96	1	184	32	34	3	5	659472.7667	27045.57555
Aug-96	0	176	178	13	5	1	-133722.5333	27022.39568
Sep-96	1	67	94	29	2	2	36815.3	23592.33325
Oct-96	0	11	193	43	5	4	1647854.6	30978.99856
Nov-96	1	131	37	14	4	5	1052259.867	18467.19137
Dec-96	0	140	105	15	2	1	69752.3	24066.07288
Jan-97	1	139	19	11	3	1	339495.4667	17391.26913
Feb-97	1	113	170	16	4	3	241426.9667	15102.87117
Mar-97	1	172	121	43	3	4	-34832.73333	41047.96224
Apr-97	0	20	99	11	2	3	1106450.1	39336.8417
May-97	1	32	100	26	2	4	84028.36667	28671.94302
Jun-97	1	148	81	33	1	4	-857086	24250.55781
Jul-97	1	89	167	38	3	2	-162389.5667	25012.36316
Aug-97	1	94	147	46	4	2	132946.8333	16247.59667
Sep-97	0	198	126	16	3	1	-34792.96667	28279.27378
Oct-97	1	149	77	30	2	1	-431570.6667	12515.94046
Nov-97	1	76	84	7	1	1	-281504.1333	15259.72554
Dec-97	1	159	32	4	3	3	1071423.333	24548.83491
Jan-98	0	198	36	42	5	2	2311434.333	42648.52615
Feb-98	1	180	145	34	3	1	-865990.2	14784.44884
Mar-98	0	183	129	22	1	1	-809031.1333	28929.53153
Apr-98	1	28	81	34	5	5	887283.9333	19126.56468
May-98	1	96	80	43	1	5	-836706.0667	26085.01333
Jun-98	1	47	126	7	2	4	72021.66667	31316.85471
Jul-98	0	168	141	50	3	2	225331.8667	15904.90077
Aug-98	0	160	185	28	5	4	1372837.6	27635.7074
Sep-98	0	34	153	19	4	3	1995203.6	30526.3397
Oct-98	1	149	14	40	4	1	140725.5667	20195.17062
Nov-98	1	160	164	14	3	5	-122640.1333	13892.31062
Dec-98	0	67	55	15	4	3	2548543.833	23193.09697
Jan-99	0	107	167	10	3	1	228231.9667	27478.07899
Feb-99	1	81	198	22	4	2	35459.03333	26547.62709
Mar-99	0	165	57	11	4	1	601468.3	30281.59316
Apr-99	0	84	120	2	1	5	-170594.2333	21633.64275
