iter,C,R,Q,W,M1,M2,revenue,feasible,best_so_far
1,1,155,147,40,3,1,-744320.7709683507,True,-744320.7709683507
2,1,96,105,19,1,5,-733493.5342405175,True,-733493.5342405175
3,1,132,86,42,3,3,354491.43821104965,True,354491.43821104965
4,0,53,27,28,5,1,720603.194898782,True,720603.194898782
5,1,168,62,32,1,4,-834994.2895742086,True,720603.194898782
6,1,158,155,10,2,3,-340022.32370992575,True,720603.194898782
7,1,152,80,49,3,2,213257.15563876677,True,720603.194898782
8,1,80,24,24,4,1,305088.6943078835,True,720603.194898782
9,0,34,141,24,2,2,351578.6896102375,True,720603.194898782
10,1,137,189,22,1,5,-1027678.9653316302,True,720603.194898782
11,0,140,131,7,5,1,368217.5865482197,True,720603.194898782
12,0,144,62,40,3,3,1492917.3884672872,True,1492917.3884672872
13,1,118,17,7,2,1,565539.2717278539,True,1492917.3884672872
14,0,156,119,32,3,3,1241582.221383831,True,1492917.3884672872
15,0,116,161,16,4,1,191625.70392196553,True,1492917.3884672872
16,0,93,197,11,2,3,584473.3730390663,True,1492917.3884672872
17,1,172,16,12,5,1,391497.8785268367,True,1492917.3884672872
18,0,87,89,41,2,1,31125.72689457024,True,1492917.3884672872
19,1,39,104,35,3,3,655997.4675428988,True,1492917.3884672872
20,1,79,193,5,2,1,-253028.13543462884,True,1492917.3884672872
21,0,122,46,34,3,3,1623611.9260527883,True,1623611.9260527883
22,0,117,18,8,3,3,2517154.7196628856,True,2517154.7196628856
23,0,93,20,6,2,4,1666296.6567967874,True,2517154.7196628856
24,0,165,39,1,3,3,2229453.241829224,True,2517154.7196628856
25,0,147,13,11,3,3,2362553.264324393,True,2517154.7196628856
26,0,60,14,2,4,2,2362368.823910678,True,2517154.7196628856
27,0,143,15,4,4,2,2695553.5550977113,True,2695553.5550977113
28,0,87,21,4,2,2,1153402.0411030734,True,2695553.5550977113
29,0,200,18,1,4,1,941415.5313041701,True,2695553.5550977113
30,0,18,86,45,1,5,-605429.6187032792,True,2695553.5550977113
31,0,187,21,50,4,2,2057568.7481188118,True,2695553.5550977113
32,0,102,32,8,4,2,2482914.5617822628,True,2695553.5550977113
33,0,79,78,1,3,3,2000222.606012938,True,2695553.5550977113
34,0,134,21,1,4,2,2780796.3439643583,True,2780796.3439643583
35,0,137,190,49,5,1,-700305.0391900399,True,2780796.3439643583
36,1,56,78,2,3,3,859178.1768299814,True,2780796.3439643583
37,0,197,24,48,2,4,462495.20187126065,True,2780796.3439643583
38,0,186,30,27,4,2,2247788.5622017225,True,2780796.3439643583
39,0,132,36,1,4,2,2517149.6754692215,True,2780796.3439643583
40,0,90,10,1,4,2,2355962.101585997,True,2780796.3439643583
41,0,100,16,1,3,3,2410765.9870352307,True,2780796.3439643583
42,0,112,24,13,4,2,2460437.2936798395,True,2780796.3439643583
43,0,96,14,11,4,2,2564388.406088263,True,2780796.3439643583
44,0,99,16,3,3,3,2410976.974103793,True,2780796.3439643583
45,0,161,24,13,4,2,2553288.704703444,True,2780796.3439643583
46,1,14,30,50,1,2,-395576.2451531444,True,2780796.3439643583
47,0,103,25,11,3,3,2285552.710446401,True,2780796.3439643583
48,0,127,16,3,4,2,2633515.369253636,True,2780796.3439643583
49,0,15,31,3,3,3,1906331.6629760566,True,2780796.3439643583
50,0,156,20,15,4,2,2470770.626013221,True,2780796.3439643583
51,0,170,18,9,4,2,2539084.517539215,True,2780796.3439643583
52,0,183,17,46,5,1,440949.93682367535,True,2780796.3439643583
53,0,111,33,3,4,2,2679309.796988651,True,2780796.3439643583
54,0,127,30,12,4,2,2630914.4838664774,True,2780796.3439643583
55,0,158,17,6,4,2,2674461.8957505613,True,2780796.3439643583
56,1,39,152,3,5,1,149547.11074051948,True,2780796.3439643583
57,0,14,85,5,5,1,1057549.5263711102,True,2780796.3439643583
58,0,153,13,3,4,2,2739803.101925421,True,2780796.3439643583
59,0,198,14,16,3,3,2125263.454524681,True,2780796.3439643583
60,0,152,41,12,4,2,2377060.9116747184,True,2780796.3439643583
61,0,148,19,18,4,2,2294293.6337414407,True,2780796.3439643583
62,0,16,101,1,1,5,381691.7318048016,True,2780796.3439643583
63,0,136,23,3,4,2,2754972.2416976914,True,2780796.3439643583
64,0,124,22,5,4,2,2769098.8142310265,True,2780796.3439643583
65,0,154,38,6,4,2,2393380.4110344066,True,2780796.3439643583
66,0,126,13,14,4,2,2600119.153476867,True,2780796.3439643583
67,0,112,44,5,4,2,2479920.9024841157,True,2780796.3439643583
68,1,25,11,1,1,5,-10196.511059225431,True,2780796.3439643583
69,1,172,20,1,2,4,628100.5731030257,True,2780796.3439643583
70,0,176,12,1,3,3,2392070.098118277,True,2780796.3439643583
71,0,107,19,7,4,2,2756618.1157412054,True,2780796.3439643583
72,0,195,174,6,1,5,-744516.1386507212,True,2780796.3439643583
73,0,180,15,8,4,2,2632483.4774200474,True,2780796.3439643583
74,1,15,12,8,5,1,270717.43083540245,True,2780796.3439643583
75,0,144,12,11,4,2,2607689.360682937,True,2780796.3439643583
76,0,147,12,2,3,3,2378191.8923325026,True,2780796.3439643583
77,0,147,13,9,4,2,2730165.908069504,True,2780796.3439643583
78,0,190,21,47,1,1,-478272.0789172716,True,2780796.3439643583
79,0,135,32,2,4,2,2531353.8215209185,True,2780796.3439643583
80,0,156,13,12,4,2,2714852.858001726,True,2780796.3439643583
81,0,131,40,8,4,2,2368904.858171877,True,2780796.3439643583
82,0,15,12,37,3,3,1365571.054147534,True,2780796.3439643583
83,0,168,18,12,4,2,2471507.5887243343,True,2780796.3439643583
84,0,103,30,2,4,2,2725439.0077323727,True,2780796.3439643583
85,0,106,18,9,4,2,2635857.325043013,True,2780796.3439643583
86,0,150,27,2,4,2,2554752.2631308,True,2780796.3439643583
87,0,167,17,13,4,2,2560169.883849434,True,2780796.3439643583
88,1,41,187,48,5,1,-371271.9886763501,True,2780796.3439643583
89,0,149,12,2,4,2,2707091.141060658,True,2780796.3439643583
90,0,102,34,5,4,2,2691026.0463880836,True,2780796.3439643583
91,0,94,14,1,4,2,2522722.7488150713,True,2780796.3439643583
92,1,191,16,50,4,2,823961.4910965303,True,2780796.3439643583
93,0,110,30,11,4,2,2510866.5760817914,True,2780796.3439643583
94,0,166,18,18,4,2,2249314.111184635,True,2780796.3439643583
95,0,166,24,5,4,2,2612553.9820493166,True,2780796.3439643583
